"Timestamp","Name:","Email:","Rank from 1 (first choice) to 5 (fifth choice) [First choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Second choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Third choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Fourth choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Fifth choice?]","Times available Monday?","Times available Tuesday?","Times available Wednesday?","Times available Thursday?","Times available Friday?"
"2019/09/23 3:44:23 PM AST","1","","Group A","Group C","Group B","Group E","Group D","M 11-12;M 1130-1230;M 12-1;M 1230-130;M 1-2","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 3-4;T 330-430;T 4-5","W 12-1;W 1230-130;W 1-2;W 130-230;W 2-3;W 230-330","R 9-10;R 930-1030;R 10-11;R 1030-1130;R 11-12;R 1130-1230;R 12-1;R 1230-130","F 1030-1130;F 11-12;F 1130-1230;F 12-1;F 1230-130;F 1-2"
"2019/09/23 3:45:07 PM AST","2","","Group E","Group C","Group D","Group B","Group A","M 130-230;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 10-11;T 1030-1130;T 11-12;T 1130-1230;T 12-1;T 1230-130;T 1-2","W 9-10;W 930-1030;W 10-11;W 1030-1130;W 11-12;W 1130-1230;W 12-1;W 1230-130","R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 10-11;F 1030-1130;F 11-12;F 1130-1230;F 12-1;F 1230-130"
"2019/09/23 3:45:57 PM AST","3","","Group C","Group D","Group E","Group B","Group A","M 9-10;M 930-1030;M 10-11;M 1030-1130;M 11-12;M 1130-1230;M 12-1","T 1-2;T 130-230;T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 9-10;W 930-1030;W 10-11;W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 11-12;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230","F 9-10;F 930-1030;F 10-11;F 1030-1130;F 11-12"
"2019/09/23 3:46:45 PM AST","4","","Group C","Group A","Group B","Group D","Group A","M 9-10;M 930-1030;M 10-11;M 1030-1130;M 11-12;M 3-4;M 330-430;M 4-5","T 1030-1130;T 11-12;T 1130-1230;T 12-1;T 1230-130;T 1-2","W 9-10;W 930-1030;W 10-11;W 1030-1130;W 11-12;W 1130-1230;W 12-1","","F 9-10;F 930-1030;F 10-11;F 1030-1130;F 11-12;F 1130-1230;F 12-1"
"2019/09/23 3:47:01 PM AST","7","","Group A","Group B","Group C","Group D","Group E","M 9-10;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 9-10;W 930-1030;W 10-11;W 1030-1130;W 11-12;W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 1030-1130;R 11-12;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 9-10;F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/09/23 3:47:22 PM AST","13","","Group B","Group A","Group C","Group D","Group E","M 9-10;M 11-12;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 9-10;T 930-1030;T 10-11;T 130-230;T 2-3;T 330-430;T 4-5","W 1030-1130;W 11-12;W 1130-1230;W 1-2;W 130-230;W 3-4;W 330-430;W 4-5","R 930-1030;R 10-11;R 1030-1130;R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3","F 930-1030;F 10-11;F 1-2;F 130-230;F 2-3;F 230-330;F 3-4"
"2019/09/23 3:48:11 PM AST","5","","Group B","Group D","Group A","Group C","Group E","M 130-230;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 1130-1230","W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 11-12;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230",""
"2019/09/23 3:48:39 PM AST","8","","Group B","Group C","Group A","Group E","Group D","M 3-4;M 330-430;M 4-5","T 12-1;T 1230-130;T 1-2;T 130-230;T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 3-4;W 330-430;W 4-5","R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 3-4;F 330-430;F 4-5"
"2019/09/23 3:49:07 PM AST","6","","Group D","Group C","Group B","Group D","Group A","","T 1-2;T 130-230;T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 9-10;W 930-1030;W 10-11;W 1030-1130;W 11-12;W 1130-1230;W 12-1;W 1230-130","R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 9-10;F 930-1030;F 10-11;F 1030-1130;F 11-12;F 1130-1230;F 12-1;F 130-230;F 2-3"
"2019/09/23 3:49:18 PM AST","14","","Group C","Group B","Group A","Group E","Group D","M 9-10;M 930-1030;M 10-11;M 130-230;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 10-11;T 1030-1130;T 11-12;T 1130-1230;T 230-330;T 3-4;T 330-430;T 4-5","W 10-11;W 1030-1130;W 11-12;W 1130-1230;W 230-330;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 12-1;R 1230-130;R 1-2;R 130-230;R 3-4;R 330-430;R 4-5","F 9-10;F 930-1030;F 10-11;F 1-2;F 130-230;F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
