"Timestamp","Name:","Email:","Rank from 1 (first choice) to 5 (fifth choice) [First choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Second choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Third choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Fourth choice?]","Rank from 1 (first choice) to 5 (fifth choice) [Fifth choice?]","Times available Monday?","Times available Tuesday?","Times available Wednesday?","Times available Thursday?","Times available Friday?"
"2019/11/11 4:05:55 PM EST","1","","Group A","Group B","Group C","Group D","Group E","M 330-430;M 4-5","T 230-330;T 3-4;T 330-430;T 4-5","W 330-430;W 4-5","R 3-4;R 330-430;R 4-5","F 330-430;F 4-5"
"2019/11/11 4:09:02 PM EST","6","","Group B","Group C","Group D","Group A","Group E","M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 11-12;T 1130-1230;T 12-1;T 1230-130;T 330-430","W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 11-12;R 1130-1230;R 12-1;R 1230-130;R 330-430;R 4-5","F 2-3;F 230-330;F 3-4;F 330-430"
"2019/11/11 4:09:51 PM EST","14","","Group D","Group E","Group B","Group A","Group C","M 11-12;M 1-2;M 4-5","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 1-2;T 130-230;T 2-3","W 11-12;W 1-2;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 11-12;F 1-2;F 3-4;F 330-430;F 4-5"
"2019/11/11 4:11:23 PM EST","2","","Group D","Group B","Group C","Group E","Group A","M 9-10;M 12-1;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 9-10;T 930-1030;T 10-11;T 1230-130;T 1-2;T 330-430;T 4-5","W 9-10;W 12-1;W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 1230-130;R 1-2;R 330-430;R 4-5","F 9-10;F 12-1;F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/11/11 4:14:52 PM EST","16","","Group C","Group A","Group E","Group B","Group D","M 10-11;M 1030-1130;M 11-12;M 1130-1230;M 12-1;M 1230-130;M 1-2;M 130-230;M 2-3;M 230-330;M 3-4","T 2-3","W 10-11;W 1030-1130;W 11-12;W 1130-1230;W 12-1;W 1230-130;W 1-2;W 130-230;W 2-3;W 230-330;W 3-4","",""
"2019/11/11 4:17:10 PM EST","17","","Group B","Group C","Group D","Group A","Group E","M 4-5","T 9-10;T 930-1030;T 10-11;T 1030-1130;T 11-12;T 330-430;T 4-5","W 2-3;W 230-330;W 3-4;W 330-430;W 4-5","R 9-10;R 930-1030;R 10-11;R 1030-1130;R 11-12;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 330-430;R 4-5","F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/11/11 4:19:18 PM EST","7","","Group B","Group C","Group A","Group E","Group D","M 9-10;M 3-4;M 330-430;M 4-5","T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 10-11;W 3-4;W 330-430;W 4-5","R 3-4;R 330-430;R 4-5","F 10-11;F 3-4;F 330-430;F 4-5"
"2019/11/11 4:19:22 PM EST","3","","Group E","Group D","Group C","Group B","Group A","M 9-10;M 930-1030;M 10-11;M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 12-1;T 1230-130;T 1-2;T 330-430;T 4-5","W 10-11","R 12-1;R 1230-130;R 1-2;R 330-430;R 4-5","F 9-10;F 930-1030;F 10-11;F 330-430;F 4-5"
"2019/11/11 4:21:13 PM EST","11","","Group B","Group C","Group D","Group A","Group E","M 2-3;M 230-330;M 3-4;M 330-430;M 4-5","T 11-12;T 1130-1230;T 12-1;T 1230-130;T 1-2;T 130-230;T 2-3;T 230-330;T 3-4;T 330-430;T 4-5","W 3-4;W 330-430;W 4-5","R 11-12;R 1130-1230;R 12-1;R 3-4;R 330-430;R 4-5","F 2-3;F 230-330;F 3-4;F 330-430;F 4-5"
"2019/11/11 4:22:02 PM EST","8","","Group B","Group C","Group A","Group E","Group D","M 9-10;M 1-2;M 4-5","","W 9-10;W 1-2;W 4-5","R 9-10;R 930-1030;R 10-11;R 1030-1130;R 11-12;R 1130-1230;R 12-1;R 1230-130;R 1-2;R 130-230;R 2-3;R 230-330;R 3-4;R 330-430;R 4-5","F 9-10;F 1-2;F 3-4;F 330-430;F 4-5"
